Event ID	sold to(customer ID)	sold by (Employee ID)	numberOfTickets	URL
1	41	5	2	
2	55	8	2	
3	49	3	1	
4	23	1	2	
5	51	7	2	
6	85	8	1	
7	24	7	3	
8	47	1	2	
9	52	2	1	
10	2	1	4	
11	74	5	2	
12	68	4	1	
13	31	9	2	
14	57	9	2	
1	77		4	www.buytickets.com
2	85		1	www.ordernow.com
3	43		4	www.tickets,com
4	42		2	www.lean.com
5	74		4	www.buytickets.com
6	57		4	www.ordernow.com
7	76		2	www.tickets,com
8	30		4	www.lean.com
9	72		3	www.buytickets.com
10	57		1	www.ordernow.com
11	14	4	2	
12	12	8	3	
13	27	1	4	
14	7	9	1	
1	50	7	2	
2	37		2	www.lean.com
3	56		3	www.buytickets.com
4	6		4	www.ordernow.com
5	47	8	4	
6	68	7	1	
7	20	3	3	
8	48	7	3	
9	50	7	2	
10	78	2	4	
11	14	8	1	
12	44	4	2	
13	86	1	1	
14	86	7	2	
1	59		2	www.buytickets.com
2	30		4	www.ordernow.com
3	31		2	www.tickets,com
4	77		4	www.lean.com
5	3		4	www.buytickets.com
6	65		1	www.ordernow.com
7	44		1	www.tickets,com
8	12		3	www.lean.com
9	70	6	3	
10	80	3	1	
11	14	3	4	
12	53	5	1	
13	59	7	3	
14	36	7	3	
1	85	6	1	
2	25	3	2	
3	27	7	1	
4	61	2	2	
5	36	4	3	
6	11	7	1	
7	14	7	3	
8	15	6	1	
9	32	7	4	
10	22	9	3	
11	51	3	4	
12	46	6	2	
13	58	2	3	
14	67	8	2	
1	74	5	3	
2	78	3	2	
3	64	7	4	
4	53	8	2	
5	67		2	www.buytickets.com
6	70		4	www.ordernow.com
7	33		1	www.tickets,com
8	3		2	www.lean.com
9	14		2	www.buytickets.com
10	8		4	www.ordernow.com
11	86		2	www.tickets,com
12	63		3	www.lean.com
13	8		2	www.buytickets.com
14	8		1	www.ordernow.com
1	33	59	4	
2	20	72	3	
3	62	59	1	
4	53	63	1	
5	22	45	3	
6	44	53	3	
7	46	53	1	
8	10	71	2	
9	76	69	2	
10	12	70	3	
11	71	65	1	
12	85	48	1	
13	53	62	3	
14	3		4	www.lean.com
1	36		4	www.buytickets.com
2	26		4	www.ordernow.com
3	85		3	www.tickets,com
4	68		3	www.lean.com
5	75		1	www.buytickets.com
6	44		2	www.ordernow.com
7	27		4	www.tickets,com
8	23		2	www.lean.com
9	32		3	www.buytickets.com
10	34		3	www.ordernow.com
11	11		1	www.tickets,com
12	9		1	www.lean.com
13	30		3	www.buytickets.com
14	79		4	www.ordernow.com
1	74		4	www.tickets,com
2	43	53	3	
3	45	65	4	
4	20	69	3	
5	12	69	1	
6	48	50	4	
7	16	57	4	
8	17	48	1	
9	18	54	1	
10	5	73	2	
11	70	69	3	
12	54	61	1	
13	59	69	4	
14	54	65	2	
1	45	73	1	
2	35	47	3	
3	28	61	3	
4	85	49	1	
5	27	68	4	
6	49	46	1	
7	77	73	4	
8	31	73	4	
9	26	52	3	
10	4	72	3	
11	84	65	2	
12	46	74	1	
13	81	65	4	
14	52	57	1	
1	86	54	1	
2	85		3	www.lean.com
3	46		1	www.buytickets.com
4	24		4	www.ordernow.com
5	16		3	www.tickets,com
